2015/2016,C.R.A. DE LA FRESNEDA,Fresneda (La),44108,Fresneda (La),1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. DE LA FRESNEDA,Ráfales,44194,Ráfales,4,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. DE LA FRESNEDA,Valjunquera,44247,Valjunquera,3,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. DE LUMPIAQUE,Bardallur,50044,Bardallur,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. DE LUMPIAQUE,Lucena de Jalón,50146,Lucena de Jalón,2,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. DE LUMPIAQUE,Lumpiaque,50150,Lumpiaque,10,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. DE LUMPIAQUE,Plasencia de Jalón,50211,Plasencia de Jalón,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. DE LUMPIAQUE,Salillas de Jalón,50231,Salillas de Jalón,3,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. DE LUMPIAQUE,Urrea de Jalón,50269,Urrea de Jalón,4,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. DE MARTIN DEL RIO,Barriada Obrera del Sur,44238,Utrillas,3,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. DE MARTIN DEL RIO,Castel de Cabra,44066,Castel de Cabra,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. DE MARTIN DEL RIO,Martín del Río,44144,Martín del Río,2,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. DE MUNIESA,Alacón,44006,Alacón,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. DE MUNIESA,Muniesa,44161,Muniesa,2,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. DEL EBRO,Gelsa,50119,Gelsa,10,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. DEL EBRO,Velilla de Ebro,50278,Velilla de Ebro,2,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. DEL EBRO,Zaida (La),50296,Zaida (La),1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. DEL MEZQUIN,Castelserás,44068,Castelserás,6,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. DEL MEZQUIN,Codoñera (La),44080,Codoñera (La),3,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. DEL MEZQUIN,Torrevelilla,44230,Torrevelilla,3,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. DEL MEZQUIN,Valdealgorfa,44241,Valdealgorfa,2,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. EL ENEBRO,Morés,50177,Morés,2,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. EL ENEBRO,Saviñán,50241,Saviñán,2,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. EL ENEBRO,Sestrica,50243,Sestrica,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. EL MIRADOR,Villalengua,50287,Villalengua,3,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. EL TREBOL,Binaced,22060,Binaced,10,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. EL TREBOL,Esplús,22099,Esplús,6,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. EL TREBOL,San Esteban de Litera,22205,San Esteban de Litera,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. EL TREBOL,Valcarca,22060,Binaced,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. ESTADILLA-FONZ,Azanuy,22040,Azanuy-Alins,2,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. ESTADILLA-FONZ,Estadilla,22103,Estadilla,10,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. ESTADILLA-FONZ,Fonz,22110,Fonz,7,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. ESTADILLA-FONZ,Naval,22160,Naval,2,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. FABARA-NONASPE DOS AGUAS,Fabara,50102,Fabara,11,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. FABARA-NONASPE DOS AGUAS,Nonaspe,50189,Nonaspe,4,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. GOYA,Blancas,44042,Blancas,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. GOYA,Caminreal,44056,Caminreal,2,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. GOYA,Fuentes Claras,44112,Fuentes Claras,6,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. GOYA,Ojos Negros,44169,Ojos Negros,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. GOYA,Torrijo del Campo,44232,Torrijo del Campo,3,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. INSULA BARATARIA,Alcalá de Ebro,50013,Alcalá de Ebro,3,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. INSULA BARATARIA,Boquiñeni,50053,Boquiñeni,5,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. INSULA BARATARIA,Cabañas de Ebro,50064,Cabañas de Ebro,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. INSULA BARATARIA,Figueruelas,50107,Figueruelas,7,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. INSULA BARATARIA,Grisén,50123,Grisén,4,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. INSULA BARATARIA,Luceni,50147,Luceni,8,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. L`ALBADA,Almolda (La),50022,Almolda (La),1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. L`ALBADA,Bujaraloz,50059,Bujaraloz,9,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. L`ALBARDIN,Azuara,50039,Azuara,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. L`ALBARDIN,Lécera,50136,Lécera,3,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. LA CEPA,Cosuenda,50088,Cosuenda,2,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. LA CEPA,Encinacorba,50098,Encinacorba,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. LA CEPA,Paniza,50200,Paniza,7,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. LA HUECHA,Ambel,50027,Ambel,2,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. LA HUECHA,Magallón,50153,Magallón,5,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. LA HUECHA,Maleján,50156,Maleján,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. LA LLITERA,Albelda,22009,Albelda,6,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. LA LLITERA,Alcampell,22016,Alcampell,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. LA LLITERA,Estopiñán,22105,Estopiñán del Castillo,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. LA SABINA,Alcubierre,22018,Alcubierre,3,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. LA SABINA,Frula,22023,Almuniente,3,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. LA SABINA,Monegrillo,50170,Monegrillo,2,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. LA SABINA,Montesusín,22116,Grañén,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. LA SABINA,Nuez de Ebro,50193,Nuez de Ebro,9,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. LA SABINA,Osera de Ebro,50199,Osera de Ebro,2,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. LA SABINA,Robres,22197,Robres,5,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. LA SABINA,Villafranca de Ebro,50285,Villafranca de Ebro,5,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. LAS VIÑAS,Bureta,50061,Bureta,1,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. LAS VIÑAS,Fuendejalón,50113,Fuendejalón,3,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. LOS BAÑALES,Biota,50051,Biota,4,AM06101013,3 años,3 años,E. Infantil
2015/2016,C.R.A. LOS BAÑALES,Castiliscar,50078,Castiliscar,1,AM06101013,3 años,3 años,E. Infantil
